Utterance	POV Converted Text
Remind CN to participate in the game next month 	SCN reminds to participate in the game next month 
Remind CN to conduct the seminar from 1.00 pm	SCN reminds to conduct the seminar from 1.00 pm
Remind CN to check the items after the delivery is made	SCN reminds to check the items after the delivery is made
Remind CN to unsubscribe the channel now 	SCN reminds to unsubscribe the channel now 
Remind CN to share the video link after posting it 	SCN reminds to share the video link after posting it 
Remind CN to get the pdf book 	SCN reminds to get the pdf book 
Remind CN to bring the file copy after verification is made 	SCN reminds to bring the file copy after verification is made 
Remind CN to automate the process before next week 	SCN reminds to automate the process before next week 
Remind CN to get toolkit from showroom	SCN reminds to get toolkit from showroom
Remind CN to mute the call before session begins 	SCN reminds to mute the call before session begins 
Remind CN to arrange the folder at home 	SCN reminds to arrange the folder at home 
Remind CN to change the file format before uploading 	SCN reminds to change the file format before uploading 
Remind CN to edit the video before SCNtmas	SCN reminds to edit the video before SCNtmas
Remind CN to compare the products at the store 	SCN reminds to compare the products at the store 
Remind CN to get medical report from the hospital 	SCN reminds to get medical report from the hospital 
Remind CN to clean the floor thrice a day 	SCN reminds to clean the floor thrice a day 
Remind CN to create a document 	SCN reminds to create a document 
Remind CN to update the resume before uploading 	SCN reminds to update the resume before uploading 
Remind CN to use trial version for 3 months 	SCN reminds to use trial version for 3 months 
Ask CN whether to get king size or queen size bed 	SCN is asking whether to get king size or queen size bed 
Ask CN whether to order bomber or hoody 	SCN is asking whether to order bomber or hoody 
Ask CN whether to install windows or linux os	SCN is asking whether to install windows or linux os
Ask CN whether to use wired or wireless headphones 	SCN is asking whether to use wired or wireless headphones 
Ask CN whether to set default browser as safari or internet explorer 	SCN is asking whether to set default browser as safari or internet explorer 
Ask CN whether to increase brightness or contrast 	SCN is asking whether to increase brightness or contrast 
Ask CN whether theymarried on january or february 	SCN is asking whether theymarried on january or february 
Ask CN whether there is a lift or escalator	SCN is asking whether there is a lift or escalator
Ask CN whether the booking is made for dining or take away	SCN is asking whether the booking is made for dining or take away
Ask CN whether to select Patek Philippe or Lange & Söhne.	SCN is asking whether to select Patek Philippe or Lange & Söhne.
Ask CN whether they relocated to tnagar or vadapalani 	SCN is asking whether they relocated to tnagar or vadapalani 
Ask CN whether to add pepper or paprika	SCN is asking whether to add pepper or paprika
Ask CN whether we are going for dinner or lunch 	SCN is asking whether we are going for dinner or lunch 
Ask CN whether the team outing is on Friday or Monday 	SCN is asking whether the team outing is on Friday or Monday 
Ask CN whether to get laptop or desktop 	SCN is asking whether to get laptop or desktop 
can you ask CN about the difference in delivery cost 	SCN wants to know about the difference in delivery cost 
can you ask CN about the next launch 	SCN wants to know about the next launch 
can you ask CN about the community services 	SCN wants to know about the community services 
can you ask CN about the variants available 	SCN wants to know about the variants available 
can you ask CN about the current project status 	SCN wants to know about the current project status 
can you ask CN about the water purifier types	SCN wants to know about the water purifier types
can you ask CN about the branch locations 	SCN wants to know about the branch locations 
can you ask CN about the possible payment modes 	SCN wants to know about the possible payment modes 
can you ask CN about the medical leave policy 	SCN wants to know about the medical leave policy 
can you ask CN about the training programmes 	SCN wants to know about the training programmes 
can you ask CN about the transport availability 	SCN wants to know about the transport availability 
tell CN to be in the starbucks before 2pm.	hi CN, SCN tells you to be in the starbucks before 2pm.
can you ask CN to attend the party on 30th dec	hi CN, SCN asks you to attend the party on 30th dec
tell CN to pay the fine before 4pm.	hi CN, SCN tells you to pay the fine before 4pm.
ask CN to buy the white shoe.	hi CN, SCN asks you to buy the white shoe.
tell CN to reach the resort by 2pm.	hi CN, SCN tells you to reach the resort by 2pm.
can you tell CN to be in the park at 3pm.	hi CN, SCN tells you to be in the park at 3pm.
ask CN to bring the tomato ketchup.	hi CN, SCN asks you to bring the tomato ketchup.
tell CN to join the radio station.	hi CN, SCN tells you to join the radio station.
can you tell CN to buy bird supplies.	hi CN, SCN tells you to buy bird supplies.
tell CN to bring the id card tomorrow.	hi CN, SCN tells you to bring the id card tomorrow.
can you ask CN to buy water purifier.	hi CN, SCN asks you to buy water purifier.
tell CN dad always drives to work.	hi CN, SCN tells dad always drives to work.
tell CN Jamal dressed smartly for the party.	hi CN, SCN tells Jamal dressed smartly for the party.
can you tell CN the weather is fine this morning.	hi CN, SCN tells the weather is fine this morning.
tell CN they are going abroad to study.	hi CN, SCN tells they are going abroad to study.
tell CN I received a letter from Sara yesterday.	hi CN, SCN says I received a letter from Sara yesterday.
can you tell CN Mr. Thomas bought them ice cream cones.	hi CN, SCN says Mr. Thomas bought them ice cream cones.
tell CN they all enjoyed playing baseball.	hi CN, SCN says they all enjoyed playing baseball.
can you tell CN SCN’s dog is very friendly.	hi CN, SCN says SCN’s dog is very friendly.
can you tell CN to purchase a vaccuum cleaner.	hi CN, SCN tells you to purchase a vaccuum cleaner.
tell CN to find the address of Vicky.	hi CN, SCN asks you to find the address of Vicky.
tell CN to publish the paper.	hi CN, SCN asks you to publish the paper.
tell CN to wish selvi happy new year at 12 am	hi CN, SCN tells you to wish selvi happy new year at 12am.
can you tell CN to wish prince happy SCNtmas at 12 am	hi CN, SCN tells you to wish prince happy SCNtmas at 12am.
tell CN to buy premium denim .	hi CN, SCN tells you to buy premium denim .
can you ask CN to buy amla instant drink.	hi CN, SCN asks you to buy amla instant drink.
ask CN to construct a vehicle.	hi CN, SCN is asking you to construct a vehicle.
ask CN to call benna at 2pm.	hi CN, SCN tells you to call benna at 2pm.
can you tell CN to finish the mission before 4pm.	hi CN, SCN tells you to finish the mission before 4pm.
tell CN to be in the restaurant at 3pm.	hi CN, SCN tells you to be in the restaurant at 3pm.
can you ask CN to attend the classes on 5th sept	hi CN, SCN asks you to attend the classes on 5th sept
tell CN to achieve the target.	hi CN, SCN tells you to achieve the target.
ask CN to plan a trip to croatia before 20th oct.	hi CN, SCN asks you to plan a trip to croatia before 20th oct.
tell CN to visit africa on 12th may.	hi CN, SCN tells you to visit africa on 12th may.
can you tell CN to wish for engagement on 21st dec.	hi CN, SCN tells you to wish for engagement on 21st dec.
tell CN to buy kitchen tools .	hi CN, SCN tells you to buy kitchen tools .
can you ask CN to buy himalaya shower gel.	hi CN, SCN asks you to buy himalaya shower gel.
ask CN to send the files in whatsapp.	hi CN, SCN is asking you to send the files in whatsapp.
can you ask CN how about burger	hi CN, SCN says how about some burger?
ask CN how about pasta in hot pan restaurant.	hi CN, SCN says how about pasta in hot pan restaurant?
can you ask CN how about a trip to paris.	hi CN, SCN says how about a trip to paris?
ask CN how about shrug.	hi CN, SCN says how about shrug?
ask CN how about playing base ball.	hi CN, SCN says how about playing base ball?
can you ask CN how about yoga.	hi CN, SCN says how about yoga?
ask CN how about having loafers.	hi CN, SCN says how about having loafers?
ask CN how about fried rice.	hi CN, SCN asks how about fried rice?
ask CN how about buying a car.	hi CN, SCN asks how about buying a car?
can you ask CN how about recording a song.	hi CN, SCN asks how about recording a song?
can you ask CN if she wants Digital watch or analog.	hi CN, SCN is asking if you want Digital watch or analog.
ask CN if she wants Pasta or pizza.	hi CN, SCN is asking if you want Pasta or pizza.
can you ask CN if she wants Online shopping or in-person shopping.	hi CN, SCN is asking if you want Online shopping or in-person shopping.
ask CN if she likes Writing poetry or reading poetry.	hi CN, SCN is asking if you like Writing poetry or reading poetry.
can you ask CN if she prefers Scooby Doo or SCN and Jerry.	hi CN, SCN asks if you prefer Scooby Doo or SCN and Jerry.
ask CN if she prefers Comedy or drama.	hi CN, SCN asks if you prefer Comedy or drama.
ask CN if she likes Mountains or beach.	hi CN, SCN is asking if you like Mountains or beach.
can you ask CN if she likes Facebook or Twitter.	hi CN, SCN asks if you like Facebook or Twitter.
can you ask CN if she likes Bananas or apples.	hi CN, SCN asks if you like Bananas or apples.
ask CN if she prefers TV Shows or movies.	hi CN, SCN is asking if you prefer TV Shows or movies.
can you ask CN if she prefers Shower or tub.	hi CN, SCN is asking if you prefer Shower or tub.
can you ask CN if she wants Steak or chicken.	hi CN, SCN is asking if you want Steak or chicken.
can you ask CN about neel	hi CN, SCN asked about neel.
ask CN about the series	hi CN, SCN enquired about the series.
please ask CN about the call	hi CN, SCN asked about the call.
ask CN about the holiday	hi CN, SCN wondered about the holiday.
ask CN about the song	hi CN, SCN wanted to know about the song.
can you ask CN about the concert	hi CN, SCN asked about the concert.
ask CN about Kane	hi CN, SCN was uncertain about kane.
can you ask CN about the upcoming episode	hi CN, SCN likes to know about the upcoming episodes.
ask CN about the actor	hi CN, SCN requested to know about the actor.
can you ask CN about the id card	hi CN, SCN asked about the id card.
ask CN about the date to prom	hi CN, SCN was uncertain about the date to prom.
Ask CN to join us for lunch at 2pm in hotel pandia's	SCN asks you to join us for lunch at 2pm in hotel pandia's
Tell CN his gorilla has given birth to a male.	SCN wants to tell you that your gorilla has given birth to a male.
Tell CN your cheetah will give birth in 3months	SCN wants to tell you that your cheetah will give birth in 3months
Tell CN your panda will give birth in 2months	SCN wants to tell you that your panda will give birth in 2months
Tell CN your squirrel will give birth in 35days	SCN wants to tell you that your squirrel will give birth in 35days
Tell CN the dogs will behave aggressive during pregnancy time	SCN wants to tell you that the dogs will behave aggressive during pregnancy time
Tell CN the giraffe's caff will be 2 meters in height	SCN wants to tell you that the giraffe's caff will be 2 meters in height
Tell CN the Horse young one is called colt	SCN wants to tell you that the Horse young one is called colt
Tell CN the Deer young one is fawn	SCN wants to tell you that the Deer young one is fawn
Tell CN the Fish young one is fry	SCN wants to tell you that the Fish young one is fry
Tell CN the Owl young one is owlet	SCN wants to tell you that the Owl young one is owlet
Tell CN the heart of a shrimp is located in its head.	SCN wants to tell you that the heart of a shrimp is located in its head.
tell CN a snail can sleep for three years.	SCN wants to tell you that a snail can sleep for three years.
tell CN the Slugs have four noses.	SCN wants to tell you that the Slugs have four noses.
tell CN the Elephants are the only animal that can't jump.	SCN wants to tell you that the Elephants are the only animal that can't jump.
Tell CN there are more twins now than ever before.	SCN wants to tell you that there are more twins now than ever before.
tell CN the Canary Islands are named after dogs, not birds.	SCN wants to tell you that the Canary Islands are named after dogs, not birds.
tell CN Indonesia is home to some of the shortest people in the world.	SCN wants to tell you that Indonesia is home to some of the shortest people in the world.
tell CN The Paris Agreement on climate change was signed by the largest number of countries ever in one day.	SCN wants to tell you that The Paris Agreement on climate change was signed by the largest number of countries ever in one day.
tell CN The world's quietest room is located at Microsoft's headquarters in Washington state.	SCN wants to tell you that The world's quietest room is located at Microsoft's headquarters in Washington state.
tell CN There are only three countries in the world that don't use the metric system.	SCN wants to tell you that There are only three countries in the world that don't use the metric system.
tell CN Four babies are born every second.	SCN wants to tell you that Four babies are born every second.
tell CN The coldest temperature ever recorded was -144 degrees Fahrenheit.	SCN wants to tell you that The coldest temperature ever recorded was -144 degrees Fahrenheit.
tell CN The Earth's ozone layer will make a full recovery in 50 years.	SCN wants to tell you that The Earth's ozone layer will make a full recovery in 50 years.
tell CN Japan is the world's most earthquake-prone country.	SCN wants to tell you that Japan is the world's most earthquake-prone country.
tell CN Muhammad is thought to be the most popular name in the world.	SCN wants to tell you that Muhammad is thought to be the most popular name in the world.
tell CN South Sudan is the youngest country in the world.	SCN wants to tell you that South Sudan is the youngest country in the world.
Ask CN to travel to japan this Friday	SCN asks you to travel to japan this Friday
Ask CN to send flood relief amount to kerala	SCN asks you to send flood relief amount to kerala
Ask CN to come to my 30th birthday celebration in paris corner	SCN asks you to come to my 30th birthday celebration in paris corner
Ask CN to buy biriyani in rahman biryani	SCN asks you to buy biriyani in rahman biryani
Ask CN to please the bank manager for loan	SCN asks you to please the bank manager for loan
Ask CN to show the land to sanction the loan	SCN asks you to show the land to sanction the loan
Ask CN to get loan from kotak mahindra bank	SCN asks you to get loan from kotak mahindra bank
Tell CN state bank of india provides home loan at 10.5% interest	SCN wants to tell you that state bank of india provides home loan at 10.5% interest
Tell CN axis bank is preferable for personal loan	SCN wants to tell you that axis bank is preferable for personal loan
Tell CN the natural fertilizers are used in the land	SCN wants to tell you that the natural fertilizers are used in the land
Tell CN the FIFA World Cup match start at 6pm	SCN wants to tell you that the FIFA World Cup match start at 6pm
Ask CN to book tickets to sweden 	SCN asks you to book tickets to sweden 
Ask CN to look for tickets in praveen travels 	SCN asks you to look for tickets in praveen travels 
Ask CN to search for best resort in Ooty	SCN asks you to search for best resort in Ooty
Ask CN not to behave like a psycho	SCN asks you not to behave like a psycho
Ask CN to avoid his distress towards the children	SCN asks you to avoid your distress towards the children
Ask CN to visit the SCN university once	SCN asks you to visit the SCN university once
Ask CN to go for inspection in AMM school	SCN asks you to go for inspection in AMM school
Tell CN the shopping items are listed in the to do list	SCN wants to tell you that the shopping items are listed in the to do list
Tell CN to accept the promotion as Senior engineer	SCN asks you to accept the promotion as Senior engineer
Ask CN to sign the job acceptance letter infront of the HR	SCN asks you to sign the job acceptance letter infront of the HR
Ask CN to attend the interview with Adecco Pvt ltd tomorrow	SCN asks you to attend the interview with Adecco Pvt ltd tomorrow
Ask CN to prepare the interview questions is glassdoor for senior quality assurance	SCN asks you to prepare the interview questions is glassdoor for senior quality assurance
Tell CN his dream come true moment is very closer	SCN wants to tell you that your dream come true moment is very closer
Ask CN which country is in the first position in FIFA world cup	SCN asks you which country is in the first position in FIFA world cup
Tell CN the team is changing the place near ERC room at 3pm	SCN wants to tell you that the team is changing the place near ERC room at 3pm
Tell CN the trouble ticket change the systems has been accepted	SCN wants to tell you that the trouble ticket change the systems has been accepted
Tell CN he must be present with the team while they change the desktop	SCN wants to tell you that he must be present with the team while they change the desktop
Tell CN the IT team requires manager approval for providing Mac laptop	SCN wants to tell you that the IT team requires manager approval for providing Mac laptop
Tell CN the ticket has been resolved since the team have enough devices for testing	SCN wants to tell you that the ticket has been resolved since the team have enough devices for testing
Ask CN to approve the device requirement of the team	SCN asks you to approve the device requirement of the team
Ask CN to submit the requirement form to the ERC team to allot fund for the team	SCN asks you to submit the requirement form to the ERC team to allot fund for the team
Ask CN to collect the money from the manager to buy fun comms material	SCN asks you to collect the money from the manager to buy fun comms material
Ask CN to buy bay decorating articles for pongal celebration	SCN asks you to buy bay decorating articles for pongal celebration
Tell CN the decorating items are costlier than before	SCN wants to tell you that the decorating items are costlier than before
Ask CN to get boat wireless headphones	SCN asks you to get boat wireless headphones
"Tell CN California is home to the ""Artichoke Capital of the World"	"SCN wants to tell you that California is home to the ""Artichoke Capital of the World"
Ask CN to entertain the crowd with his magic	SCN asks you to entertain the crowd with your magic
Tell CN our neighbours are relocating to delhi	SCN wants to tell you that your neighbours are relocating to delhi
Ask CN to be more expressive while acting infront of the juries	SCN asks you to be more expressive while acting infront of the juries
tell CN the exhibition was juried by a nationally acclaimed artist	SCN wants to tell you that the exhibition was juried by a nationally acclaimed artist
Ask CN to go for the books exhibition in YMCA ground	SCN asks you to go for the books exhibition in YMCA ground
Tell CN the industrial fair is happening in nungambakkam trade centre	SCN wants to tell you that the industrial fair is happening in nungambakkam trade centre
Ask CN whether we can go for the trade centre	SCN asks whether we can go for the trade centre
Tell CN the science exhibition will take place in birla planetorium from dec 5th to dec 10th	SCN wants to tell you that the science exhibition will take place in birla planetorium from dec 5th to dec 10th
Tell CN the solar eclipse can be seen through telescope from birla planetorium	SCN wants to tell you that the solar eclipse can be seen through telescope from birla planetorium
Tell CN the lunar eclipse begins at 9pm in the night and ends at 4am in the morning	SCN wants to tell you that the lunar eclipse begins at 9pm in the night and ends at 4am in the morning
Tell CN the scientist has found a time travelling watch	SCN wants to tell you that the scientist has found a time travelling watch
Ask CN if he like Captain America or Iron Man?	SCN asks if you like Captain America or Iron Man?
Ask CN if he want Cardio or Weights	SCN asks if you want Cardio or Weights
Ask CN if he like Cats or dogs	SCN asks if you like Cats or dogs
Ask CN if he Cease to exist or go on to an afterlife?	SCN asks if you Cease to exist or go on to an afterlife?
Ask CN if you want to Change your personality or looks?	SCN asks if you want to Change your personality or looks?
Ask CN if she believes in Charisma or luck?	SCN asks if she believes in Charisma or luck?
Ask CN if he like Chatting or Phone Call	SCN asks if you like Chatting or Phone Call
Ask CN if he want to Cheat or be cheated on?	SCN asks if you want to Cheat or be cheated on?
Ask CN if he like Chicken or Beef	SCN asks if you like Chicken or Beef
Ask CN if he like Chinese Communism or Russian Communism?	SCN asks if you like Chinese Communism or Russian Communism?
Ask CN if he like Chinese or Hindu?	SCN asks if you like Chinese or Hindu?
Ask CN if he like Chocolate or Vanilla	SCN asks if you like Chocolate or Vanilla
Ask CN to choose between how you die or when you die?	SCN asks to choose between how you die or when you die?
Ask CN to choose between Robb Stark or Jon Snow as King of the North?	SCN asks to choose between Robb Stark or Jon Snow as King of the North?
Ask CN if he prefer Cinema or Movie at home	SCN asks if you prefer Cinema or Movie at home
Ask CN if he want to live in a City or village	SCN asks if you want to live in a City or village
Ask CN if he like to Climb a mountain or relax on the beach?	SCN asks if you like to Climb a mountain or relax on the beach?
Ask CN if he like Club or House party	SCN asks if you like Club or House party
Ask CN if he like Coke or Pepsi	SCN asks if you like Coke or Pepsi
Ask CN if he like Comedy or Horror	SCN asks if you like Comedy or Horror
Ask CN if he like Communism or capitalism?	SCN asks if you like Communism or capitalism?
Ask CN if he want to Compete with Amazon or Facebook?	SCN asks if you want to Compete with Amazon or Facebook?
Ask CN if he like Corporate life or entrepreneurship?	SCN asks if you like Corporate life or entrepreneurship?
Ask CN if he like Crab or Lobster	SCN asks if you like Crab or Lobster
Ask CN if he like to Date a famous musician or elite businessman?	SCN asks if you like to Date a famous musician or elite businessman?
Remind CN to solve the maths puzzle by today	Hi CN, SCN reminds you to solve the maths puzzle by today
Remind CN to write a letter to her sister	Hi CN, SCN reminds you to write a letter to your sister
Remind CN to close the shop by 4.00 pm	Hi CN, SCN reminds you to close the shop by 4.00 pm
Remind CN to write a scipt today	Hi CN, SCN reminds you to write a scipt today
Remind CN to buy a iphone charger from bestbuy	Hi CN, SCN reminds you to buy a iphone charger from bestbuy
Remind CN to increase the audio volume	Hi CN, SCN reminds you to increase the audio volume
Remind CN to open the museum by 2.00 pm	Hi CN, SCN reminds you to open the museum by 2.00 pm
Remind CN to change the gmail password 	Hi CN, SCN reminds you to change the gmail password 
Remind CN to create a blog today	Hi CN, SCN reminds you to create a blog today
Remind CN to delete the google account	Hi CN, SCN reminds you to delete the google account
Remind CN to buy a gift card	Hi CN, SCN reminds you to buy a gift card
Remind CN to track the order from Bluedart	Hi CN, SCN reminds you to track the order from Bluedart
Remind CN to clear all the notifications on phone	Hi CN, SCN reminds you to clear all the notifications on phone
Remind CN to raise a new ticket today	Hi CN, SCN reminds you to raise a new ticket today
Remind CN to track the status of application	Hi CN, SCN reminds you to track the status of application
Remind CN to start the timer once the work starts	Hi CN, SCN reminds you to start the timer once the work starts
Remind CN to unsubscribe from ads	Hi CN, SCN reminds you to unsubscribe from ads
Remind CN to collect the bags 	Hi CN, SCN reminds you to collect the bags 
Remind CN to install the antivirus software on the PC	Hi CN, SCN reminds you to install the antivirus software on the PC
Remind CN to buy a pressure cooker	Hi CN, SCN reminds you to buy a pressure cooker
Ask CN if you want to play football or rugby	Hi CN, SCN is asking whether you want to play football or rugby
Ask CN if you want to do plank or crunch	Hi CN, SCN is asking whether you want to do plank or crunch
Ask CN if you want to do stretching or yoga	Hi CN, SCN is asking whether you want to do stretching or yoga
Ask CN if you want a car or bike	Hi CN, SCN is asking whether you want a car or bike
Ask CN if the course is free or paid	Hi CN, SCN is asking whether the course is free or paid
Ask CN which do you like traditional wear or western wear	Hi CN, SCN is asking which do you like traditional wear or western wear
Ask CN which way to go left or right	Hi CN, SCN is asking which way to go left or right
Ask CN which phone is cheaper Redmi or Realme	Hi CN, SCN is asking which phone is cheaper Redmi or Realme
Ask CN which teacher teaches well Maths or Science	Hi CN, SCN is asking which teacher teaches well Maths or Science
Ask CN which movie genre you like horror or comedy	Hi CN, SCN is asking which movie genre you like horror or comedy
Remind CN to download the last 6 month payslips	Hi CN, SCN reminds you to download the last 6 month payslips
Remind CN to finalise the wedding invitation covers by today	Hi CN, SCN reminds you to finalise the wedding invitation covers by today
Remind CN to fill the attendance sheet by tomorrow	Hi CN, SCN reminds you to fill the attendance sheet by tomorrow
Remind CN to buy a gaming laptop at Target	Hi CN, SCN reminds you to buy a gaming laptop at Target
Remind CN to consult a dietitian today	Hi CN, SCN reminds you to consult a dietitian today
Remind CN to paste the link while uploading the video	Hi CN, SCN reminds you to paste the link while uploading the video
Remind CN to appear for the music concert today	Hi CN, SCN reminds you to appear for the music concert today
Remind CN to start the exam by 2.00 pm	Hi CN, SCN reminds you to start the exam by 2.00 pm
Remind CN to keep the main door open today	Hi CN, SCN reminds you to keep the main door open today
Remind CN to attend the telephonic interview by 5.00 pm	Hi CN, SCN reminds you to attend the telephonic interview by 5.00 pm
Ask CN about the main characters in the movie	Hi CN, SCN asks about the main characters in the movie
Ask CN about the scholarships offered by the universities	Hi CN, SCN asks about the scholarships offered by the universities
Ask CN about the themes for the cultural fest	Hi CN, SCN asks about the themes for the cultural fest
Ask CN about the video presentations held yesterday	Hi CN, SCN asks about the video presentations held yesterday
Ask CN about the medical allowances 	Hi CN, SCN asks about the medical allowances 
Ask CN about the explanations given for the theory	Hi CN, SCN asks about the explanations given for the theory
Ask CN about the cancellation charges in BookMyShow	Hi CN, SCN asks about the cancellation charges in BookMyShow
Ask CN about the meeting with the director	Hi CN, SCN asks about the meeting with the director
Ask CN about the road accident	Hi CN, SCN asks about the road accident
Ask CN about the death toll in China	Hi CN, SCN asks about the death toll in China
Tell CN that the software has been outdated	Hi CN, SCN says the software has been outdated
Tell CN that the computer has been hacked	Hi CN, SCN says the computer has been hacked
Tell CN that the judgement is given	Hi CN, SCN says the judgement is given
Tell CN that the photos has been collaged	Hi CN, SCN says the photos has been collaged
Tell CN that there were 15 members present for the meeting	Hi CN, SCN says there were 15 members present for the meeting
Tell CN that the shops are closed due to bandh	Hi CN, SCN says the shops are closed due to bandh
Tell CN that the pictures have been downloaded	Hi CN, SCN says the pictures have been downloaded
Tell CN that the meeting is at 7.00 am	Hi CN, SCN says the meeting is at 7.00 am
Tell CN that the celebrities were present for the party	Hi CN, SCN says the celebrities were present for the party
Tell CN that the meeting was called off	Hi CN, SCN says the meeting was called off
Remind CN to refer the attachment in the mail	Hi CN, SCN reminds you to refer the attachment in the mail
Remind CN to record video while attending the birthday party	Hi CN, SCN reminds you to record video while attending the birthday party
Remind CN to edit videos before uploading	Hi CN, SCN reminds you to edit videos before uploading
Remind CN to write down the lyrics 	Hi CN, SCN reminds you to write down the lyrics 
Remind CN to feed food for the dog at 6.00 am	Hi CN, SCN reminds you to feed food for the dog at 6.00 am
Remind CN to buy a surge protector from ebay	Hi CN, SCN reminds you to buy a surge protector from ebay
Remind CN to book tickets for next month's vacation	Hi CN, SCN reminds you to book tickets for next month's vacation
Remind CN to attend the trade fair held at Island Grounds	Hi CN, SCN reminds you to attend the trade fair held at Island Grounds
Remind CN to close all the browsers before shutting down the system	Hi CN, SCN reminds you to close all the browsers before shutting down the system
Remind CN to complete the bay decorations by today	Hi CN, SCN reminds you to complete the bay decorations by today
Remind CN to make pasta salad 	Hi CN, SCN reminds you to make pasta salad 
Remind CN to buy a Samsung Galaxy Note 10	Hi CN, SCN reminds you to buy a Samsung Galaxy Note 10
Remind CN to correct the errors before submission	Hi CN, SCN reminds you to correct the errors before submission
Remind CN to pay the college fees by tomorrow	Hi CN, SCN reminds you to pay the college fees by tomorrow
Remind CN to buy a Netgear router from Walmart	Hi CN, SCN reminds you to buy a Netgear router from Walmart
Remind CN to join the marathon at ECR road	Hi CN, SCN reminds you to join the marathon at ECR road
Remind CN to close the restaurant at 10.00 pm	Hi CN, SCN reminds you to close the restaurant at 10.00 pm
Remind CN to pay for the house rent tomorrow	Hi CN, SCN reminds you to pay for the house rent tomorrow
Remind CN to meet the film producer today	Hi CN, SCN reminds you to meet the film producer today
Remind CN to unlock the password 	Hi CN, SCN reminds you to unlock the password 
Ask CN if you like roses or sunflowers	Hi CN, SCN is asking whether you like roses or sunflowers
Ask CN if you want to go for Oscars or Grammys	Hi CN, SCN is asking whether you want to go for Oscars or Grammys
Ask CN if you want to go for music concert or comedy show	Hi CN, SCN is asking whether you want to go for music concert or comedy show
Ask CN what did you have brunch or dinner	Hi CN, SCN is asking what did you have brunch or dinner
Ask CN if you like hunting or fishing	Hi CN, SCN is asking whether you like hunting or fishing
Ask CN if you use paper bags or plastic bags	Hi CN, SCN is asking whether you use paper bags or plastic bags
Ask CN what you like to have peanuts or almonds	Hi CN, SCN is asking what you like to have peanuts or almonds
Ask CN what you want to play golf or hockey	Hi CN, SCN is asking what you want to play golf or hockey
Ask CN what you want juice or smoothie	Hi CN, SCN is asking what you want juice or smoothie
Ask CN what you want to listen to Spotify or iTunes	Hi CN, SCN is asking what you want to listen to Spotify or iTunes
Remind CN to submit the thesis tomorrow	Hi CN, SCN reminds you to submit the thesis tomorrow
Remind CN to move the bookmarks from Chrome to Firefox browser	Hi CN, SCN reminds you to move the bookmarks from Chrome to Firefox browser
Remind CN to attend the video conference today at 2.00 pm	Hi CN, SCN reminds you to attend the video conference today at 2.00 pm
Remind CN to cancel the transaction	Hi CN, SCN reminds you to cancel the transaction
Remind CN to pay the water bills by this week	Hi CN, SCN reminds you to pay the water bills by this week
Tell CN that there are standard metrics for the process	Hi CN, SCN says that there are standard metrics for the process
Tell CN that the questions were hypothetical to answer	Hi CN, SCN says that the questions were hypothetical to answer
Tell CN that the document was not alligned correctly	Hi CN, SCN says that the document was not alligned correctly
Tell CN that the session got expired	Hi CN, SCN says that the session got expired
Tell CN that the patient is undergoing the treatment	Hi CN, SCN says that the patient is undergoing the treatment
remind CN to create the audio visual by the end of the week 	HI CN, SCN reminds you to create the audio visual by the end of the week
tell CN to teach the juniors tomorrow morning	HI CN, SCN asks you to teach the juniors tomorrow morning
tell CN to drink horlicks	HI CN, SCN asks you to drink horlicks
remind CN to take some snacks home	HI CN, SCN reminds you to take some snacks home
tell CN to get the dog trained at the dog creche	HI CN, SCN asks you to get the dog trained at the dog creche
tell CN to come to the bus stop tomorrow morning	HI CN, SCN asks you to go to the bus stop tomorrow morning
tell CN to go to fitness center this weekend	HI CN, SCN asks you to go to fitness center this weekend
ask CN how about some music battle while selecting	HI CN, SCN asks you how about some music battle while selecting
tell CN to go to the recreation center every morning by 8am	HI CN, SCN asks you to go to the recreation center every morning by 8am
tell CN to buy a smart vaccum cleaner for cleaning	HI CN, SCN asks you to buy a smart vaccum cleaner for cleaning
tell CN the radio show is postponed tomorrow evening	HI CN, SCN says that the radio show is postponed tomorrow evening
tell CN to go harvesting this weekend	HI CN, SCN asks you to go harvesting this weekend
ask CN how about some board games to have fun	HI CN, SCN asks you how about some board games to have fun
tell CN that the treasure hunt begins tomorrow at 10pm	HI CN, SCN says that the treasure hunt begins tomorrow at 10pm
ask CN to choose between call of duty and battlefield to buy	HI CN, SCN asks you to choose between call of duty and battlefield to buy
tell CN to conduct a circus show for the kids today 	HI CN, SCN asks you to conduct a circus show for the kids today
remind CN to showcase a prototype by the end of the week 	HI CN, SCN reminds you to showcase a prototype by the end of the week
tell CN that the friendship day is tomorrow	HI CN, SCN says that the friendship day is tomorrow
tell CN to conduct the mini militia match today evening	HI CN, SCN asks you to conduct the mini militia match today evening
tell CN to return the rental bikes today	HI CN, SCN asks you to return the rental bikes today
remind CN to buy some projectors for the office use	HI CN, SCN reminds you to buy some projectors for the office use
ask CN whether he ordered a psp or a nintendo	hey CN, SCN is asking whether you ordered a psp or a nintendo
ask CN whether he has royal enfield or jawa bike	hi CN, SCN asks whether you have royal enfield or jawa bike
ask CN whether sam is vegetarian or a non vegetarian	hi CN, SCN asks whether sam is vegetarian or a non vegetarian
ask CN whether kate is in america or europe	hey CN, SCN is asking whether kate is in america or europe
remind CN to buy a kit bag to take clothes	HI CN, SCN reminds you to buy a kit bag to take clothes
